id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,30,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,32,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,34,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,38,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,31,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,33,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,35,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186573,2025-06-30,000001,Vente,170000,91,,RUE ANATOLE FRANCE,0061,92300,92044,Levallois-Perret,92,,,920440000M0163,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283643,48.893139
2025-1186574,2025-07-22,000001,Vente,111000,197,,AV CHARLES DE GAULLE,1436,92200,92051,Neuilly-sur-Seine,92,,,92051000AJ0025,,,17,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.260765,48.884177
2025-1186575,2025-07-11,000001,Vente,505000,4,,RUE DE L ALMA,0060,92600,92004,Asnières-sur-Seine,92,,,920040000X0088,,,28,,9,82.55,,,,,,,2,2,Appartement,83,4,,,,,,2.283504,48.914789
