id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2025-1179825,2025-01-06,000001,Vente en l'état futur d'achèvement,222000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11029,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179825,2025-01-06,000001,Vente en l'état futur d'achèvement,222000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,5097,41,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179826,2025-01-08,000001,Vente,165000,77,,RUE MARTRE,6140,92110,92024,Clichy,92,,,920240000K0192,,,1139,20.72,,,,,,,,,1,2,Appartement,20,1,,,,,,2.305108,48.903617
2025-1179827,2025-01-08,000001,Vente en l'état futur d'achèvement,237000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,5106,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179827,2025-01-08,000001,Vente en l'état futur d'achèvement,237000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11049,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179828,2025-01-07,000001,Vente en l'état futur d'achèvement,263000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11597,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179828,2025-01-07,000001,Vente en l'état futur d'achèvement,263000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,10001,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179829,2025-01-07,000001,Vente,349550,22,,RUE DANTON,2520,92300,92044,Levallois-Perret,92,,,920440000V0113,,,10,40.4,3,,6,,9,40.4,,,4,2,Appartement,40,2,,,,,,2.286201,48.888328
2025-1179829,2025-01-07,000001,Vente,349550,22,,RUE DANTON,2520,92300,92044,Levallois-Perret,92,,,920440000V0113,,,10,40.4,3,,6,,9,40.4,,,4,3,Dépendance,,0,,,,,,2.286201,48.888328
2025-1179829,2025-01-07,000001,Vente,349550,22,,RUE DANTON,2520,92300,92044,Levallois-Perret,92,,,920440000V0113,,,10,40.4,3,,6,,9,40.4,,,4,3,Dépendance,,0,,,,,,2.286201,48.888328
2025-1179830,2025-01-07,000001,Vente,885000,40,,RUE HOCHE,4460,92270,92009,Bois-Colombes,92,,,920090000C0396,,,203,126,603,,,,,,,,2,1,Maison,129,6,,,,,,2.269089,48.92192
2025-1179831,2025-01-07,000001,Vente,749050,7,,AV DES VATS,9623,92700,92025,Colombes,92,,,92025000AZ0203,,,,,,,,,,,,,0,1,Maison,95,5,S,sols,,,297,2.240374,48.911618
2025-1179832,2025-01-06,000001,Vente,362000,14,,RUE CACHEUX,1410,92400,92026,Courbevoie,92,,,92026000AU0001,,,24,,30,,,,,,,,2,3,Dépendance,,0,,,,,,2.270678,48.90679
2025-1179832,2025-01-06,000001,Vente,362000,14,,RUE CACHEUX,1410,92400,92026,Courbevoie,92,,,92026000AU0001,,,24,,30,,,,,,,,2,2,Appartement,49,3,,,,,,2.270678,48.90679
2025-1179833,2025-01-08,000001,Vente,1000000,104,,RUE JULES GUESDE,4785,92300,92044,Levallois-Perret,92,,,920440000H0152,,,187,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.290346,48.896584
2025-1179833,2025-01-08,000001,Vente,1000000,104,,RUE JULES GUESDE,4785,92300,92044,Levallois-Perret,92,,,920440000H0152,,,119,,54,100.3,,,,,,,2,2,Appartement,99,4,,,,,,2.290346,48.896584
2025-1179834,2025-01-09,000001,Vente,127500,13,,RUE PIERRE DUPONT,7210,92150,92073,Suresnes,92,,,920730000U0056,,,121,17.96,,,,,,,,,1,2,Appartement,17,1,,,,,,2.224382,48.867527
2025-1179834,2025-01-09,000001,Vente,127500,13,,RUE PIERRE DUPONT,7210,92150,92073,Suresnes,92,,,920730000U0056,,,144,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.224382,48.867527
2025-1179835,2025-01-08,000001,Vente en l'état futur d'achèvement,298350,5,,RUE MOUILLON,2680,92500,92063,Rueil-Malmaison,92,,,92063000AR0568,,,186,,,,,,,,,,1,,,,,,,,,,2.1814,48.879751
2025-1179835,2025-01-08,000001,Vente en l'état futur d'achèvement,298350,5,,RUE MOUILLON,2680,92500,92063,Rueil-Malmaison,92,,,92063000AR0568,,,128,,,,,,,,,,1,,,,,,,,,,2.1814,48.879751
2025-1179836,2025-01-09,000001,Vente en l'état futur d'achèvement,589000,5,,RUE MOUILLON,2680,92500,92063,Rueil-Malmaison,92,,,92063000AR0568,,,144,,,,,,,,,,1,,,,,,,,,,2.1814,48.879751
2025-1179836,2025-01-09,000001,Vente en l'état futur d'achèvement,589000,5,,RUE MOUILLON,2680,92500,92063,Rueil-Malmaison,92,,,92063000AR0568,,,181,,,,,,,,,,1,,,,,,,,,,2.1814,48.879751
2025-1179837,2025-01-08,000001,Vente en l'état futur d'achèvement,313105,5,,RUE MOUILLON,2680,92500,92063,Rueil-Malmaison,92,,,92063000AR0568,,,149,,,,,,,,,,1,,,,,,,,,,2.1814,48.879751
2025-1179837,2025-01-08,000001,Vente en l'état futur d'achèvement,313105,5,,RUE MOUILLON,2680,92500,92063,Rueil-Malmaison,92,,,92063000AR0568,,,102,,,,,,,,,,1,,,,,,,,,,2.1814,48.879751
2025-1179838,2025-01-10,000001,Vente,411000,11,,RUE HENRI SAY,4460,92600,92004,Asnières-sur-Seine,92,,,92004000AG0156,,,10,69.13,,,,,,,,,1,2,Appartement,68,2,,,,,,2.276739,48.91528
2025-1179838,2025-01-10,000001,Vente,411000,11,,RUE HENRI SAY,4460,92600,92004,Asnières-sur-Seine,92,,,92004000AG0156,,,10,69.13,,,,,,,,,1,3,Dépendance,,0,,,,,,2.276739,48.91528
2025-1179839,2025-01-07,000001,Vente,589440,6,,BD DU GENERAL LECLERC,4145,92200,92051,Neuilly-sur-Seine,92,,,92051000AL0087,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.257126,48.887092
2025-1179839,2025-01-07,000001,Vente,589440,6,,BD DU GENERAL LECLERC,4145,92200,92051,Neuilly-sur-Seine,92,,,92051000AL0087,,,27,,,,,,,,,,1,2,Appartement,54,2,,,,,,2.257126,48.887092
2025-1179840,2025-01-03,000001,Vente,381950,290,,AV NAPOLEON BONAPARTE,2720,92500,92063,Rueil-Malmaison,92,,,92063000BP0009,,,1011,,1025,70.04,,,,,,,2,2,Appartement,70,4,,,,,,2.162962,48.87372
2025-1179840,2025-01-03,000001,Vente,381950,290,,AV NAPOLEON BONAPARTE,2720,92500,92063,Rueil-Malmaison,92,,,92063000BP0009,,,1011,,1025,70.04,,,,,,,2,3,Dépendance,,0,,,,,,2.162962,48.87372
2025-1179841,2025-01-06,000001,Vente,482000,21,,RUE GUSTAVE CHARPENTIER,1760,92500,92063,Rueil-Malmaison,92,,,92063000AD0119,,,14,,42,74.32,,,,,,,2,2,Appartement,74,4,,,,,,2.177058,48.887299
2025-1179841,2025-01-06,000001,Vente,482000,21,,RUE GUSTAVE CHARPENTIER,1760,92500,92063,Rueil-Malmaison,92,,,92063000AD0119,,,14,,42,74.32,,,,,,,2,3,Dépendance,,0,,,,,,2.177058,48.887299
2025-1179841,2025-01-06,000001,Vente,482000,21,,RUE GUSTAVE CHARPENTIER,1760,92500,92063,Rueil-Malmaison,92,,,92063000AD0119,,,28,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.177058,48.887299
2025-1179842,2025-01-03,000001,Vente,305000,189,,RUE ARMAND SILVESTRE,0078,92400,92026,Courbevoie,92,,,92026000AV0131,,,1036,36.76,,,,,,,,,1,3,Dépendance,,0,,,,,,2.275965,48.905607
2025-1179842,2025-01-03,000001,Vente,305000,189,,RUE ARMAND SILVESTRE,0078,92400,92026,Courbevoie,92,,,92026000AV0131,,,1036,36.76,,,,,,,,,1,3,Dépendance,,0,,,,,,2.275965,48.905607
2025-1179842,2025-01-03,000001,Vente,305000,189,,RUE ARMAND SILVESTRE,0078,92400,92026,Courbevoie,92,,,92026000AV0131,,,1036,36.76,,,,,,,,,1,2,Appartement,36,2,,,,,,2.275965,48.905607
2025-1179842,2025-01-03,000001,Vente,305000,189,,RUE ARMAND SILVESTRE,0078,92400,92026,Courbevoie,92,,,92026000AV0131,,,1174,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.275965,48.905607
2025-1179843,2025-01-03,000001,Vente,300000,19,,RUE PIERRE BROSSOLETTE,2960,92500,92063,Rueil-Malmaison,92,,,92063000AE0525,,,13,51.45,2,,,,,,,,2,3,Dépendance,,0,,,,,,2.182159,48.881482
2025-1179843,2025-01-03,000001,Vente,300000,19,,RUE PIERRE BROSSOLETTE,2960,92500,92063,Rueil-Malmaison,92,,,92063000AE0525,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.182159,48.881482
2025-1179843,2025-01-03,000001,Vente,300000,19,,RUE PIERRE BROSSOLETTE,2960,92500,92063,Rueil-Malmaison,92,,,92063000AE0525,,,13,51.45,2,,,,,,,,2,2,Appartement,56,2,,,,,,2.182159,48.881482
2025-1179844,2025-01-03,000001,Vente,540020,27,,RUE DANIELLE CASANOVA,0980,92500,92063,Rueil-Malmaison,92,,,92063000AX0112,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,100,0,S,sols,,,83,2.177039,48.876406
2025-1179845,2025-01-07,000001,Vente,640000,5,,RUE MARIE LAURE,6150,92270,92009,Bois-Colombes,92,,,920090000F0142,,,103,105.2,111,,,,,,,,2,2,Appartement,103,5,,,,,,2.278542,48.918876
2025-1179846,2025-01-10,000001,Vente,59000,47,,BD GEORGES SEURAT,4147,92200,92051,Neuilly-sur-Seine,92,,,920510000A0143,,,470,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.269386,48.89609
2025-1179846,2025-01-10,000001,Vente,59000,47,,BD GEORGES SEURAT,4147,92200,92051,Neuilly-sur-Seine,92,,,920510000A0143,,,471,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.269386,48.89609
2025-1179847,2025-01-07,000001,Vente,198000,72,,AV MARCEAU,6120,92400,92026,Courbevoie,92,,,920260000J0203,,,16,,50,28.6,,,,,,,2,2,Appartement,26,1,,,,,,2.24512,48.901324
2025-1179848,2025-01-06,000001,Vente,490400,6,,RUE ARISTIDE BRIAND,0080,92300,92044,Levallois-Perret,92,,,920440000T0141,,,12,53.39,24,,,,,,,,2,3,Dépendance,,0,,,,,,2.281441,48.889126
2025-1179848,2025-01-06,000001,Vente,490400,6,,RUE ARISTIDE BRIAND,0080,92300,92044,Levallois-Perret,92,,,920440000T0141,,,12,53.39,24,,,,,,,,2,2,Appartement,43,3,,,,,,2.281441,48.889126
2025-1179849,2025-01-10,000001,Vente,316000,28,,RUE PIERRE GEOFROIX,7235,92700,92025,Colombes,92,,,92025000AG0252,,,9,63.54,,,,,,,,,1,3,Dépendance,,0,,,,,,2.258029,48.917701
2025-1179849,2025-01-10,000001,Vente,316000,28,,RUE PIERRE GEOFROIX,7235,92700,92025,Colombes,92,,,92025000AG0252,,,9,63.54,,,,,,,,,1,2,Appartement,63,3,,,,,,2.258029,48.917701
2025-1179849,2025-01-10,000001,Vente,316000,28,,RUE PIERRE GEOFROIX,7235,92700,92025,Colombes,92,,,92025000AG0252,,,9,63.54,,,,,,,,,1,3,Dépendance,,0,,,,,,2.258029,48.917701
2025-1179850,2025-01-07,000001,Vente,292840,77,B,RUE VOLTAIRE,9675,92300,92044,Levallois-Perret,92,,,920440000N0091,,,23,31.86,,,,,,,,,1,2,Appartement,30,2,,,,,,2.288258,48.893954
2025-1179850,2025-01-07,000001,Vente,292840,77,B,RUE VOLTAIRE,9675,92300,92044,Levallois-Perret,92,,,920440000N0091,,,23,31.86,,,,,,,,,1,3,Dépendance,,0,,,,,,2.288258,48.893954
2025-1179851,2025-01-03,000001,Vente,514500,46,,RUE DE LA SABLIERE,8510,92600,92004,Asnières-sur-Seine,92,,,92004000AM0109,,,132,69.91,338,,,,,,,,2,3,Dépendance,,0,,,,,,2.271115,48.907289
2025-1179851,2025-01-03,000001,Vente,514500,44,,RUE DE LA SABLIERE,8510,92600,92004,Asnières-sur-Seine,92,,,92004000AM0109,,,249,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.271115,48.907289
2025-1179851,2025-01-03,000001,Vente,514500,46,,RUE DE LA SABLIERE,8510,92600,92004,Asnières-sur-Seine,92,,,92004000AM0109,,,132,69.91,338,,,,,,,,2,2,Appartement,67,3,,,,,,2.271115,48.907289
2025-1179852,2025-01-07,000001,Vente,13000,12,,RUE BEFFROY,0621,92200,92051,Neuilly-sur-Seine,92,,,920510000F0093,,,80,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.260938,48.887191
2025-1179853,2025-01-08,000001,Vente,835000,11,,RUE BONNET,0660,92110,92024,Clichy,92,,,92024000AB0080,,,4033,92.72,,,,,,,,,1,2,Appartement,93,4,,,,,,2.308722,48.898009
2025-1179854,2025-01-07,000001,Vente,400310,5,,RUE DES FRERES CHAUSSON,9163,92600,92004,Asnières-sur-Seine,92,,,920040000O0242,,,577,57.27,,,,,,,,,1,2,Appartement,58,3,,,,,,2.287126,48.915563
2025-1179854,2025-01-07,000001,Vente,400310,5,,RUE DES FRERES CHAUSSON,9163,92600,92004,Asnières-sur-Seine,92,,,920040000O0242,,,577,57.27,,,,,,,,,1,3,Dépendance,,0,,,,,,2.287126,48.915563
2025-1179854,2025-01-07,000001,Vente,400310,1,,RUE DES FRERES CHAUSSON,9163,92600,92004,Asnières-sur-Seine,92,,,920040000O0242,,,727,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.287126,48.915563
2025-1179855,2025-01-02,000001,Vente,195000,52,,RUE DES TALUS,3600,92500,92063,Rueil-Malmaison,92,,,92063000AL0041,,,,,,,,,,,,,0,1,Maison,110,5,S,sols,,,164,2.206534,48.873128
2025-1179855,2025-01-02,000001,Vente,195000,52,,RUE DES TALUS,3600,92500,92063,Rueil-Malmaison,92,,,92063000AL0041,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,164,2.206534,48.873128
2025-1179856,2025-01-03,000001,Vente,952850,18,,RUE DES PEUPLIERS,2950,92500,92063,Rueil-Malmaison,92,,,92063000BW0146,,,,,,,,,,,,,0,1,Maison,137,4,S,sols,,,355,2.169832,48.862591
2025-1179857,2025-01-08,000001,Vente,167500,20,B,RUE DES BAS ROGERS,0620,92800,92062,Puteaux,92,,,920620000X0164,,,114,30.71,,,,,,,,,1,2,Appartement,30,2,,,,,,2.233773,48.879987
2025-1179858,2025-01-13,000001,Vente,291300,10,,AV ANATOLE FRANCE,0050,92110,92024,Clichy,92,,,92024000AC0171,,,23,44.04,,,,,,,,,1,2,Appartement,44,2,,,,,,2.30564,48.897333
2025-1179858,2025-01-13,000001,Vente,291300,10,,AV ANATOLE FRANCE,0050,92110,92024,Clichy,92,,,92024000AC0171,,,14,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.30564,48.897333
2025-1179859,2025-01-06,000001,Vente,355000,6,,RUE DES CAILLOUX,1411,92110,92024,Clichy,92,,,92024000AF0022,,,249,89.9,333,,,,,,,,2,2,Appartement,89,4,,,,,,2.306151,48.896005
2025-1179859,2025-01-06,000001,Vente,355000,6,,RUE DES CAILLOUX,1411,92110,92024,Clichy,92,,,92024000AF0022,,,249,89.9,333,,,,,,,,2,3,Dépendance,,0,,,,,,2.306151,48.896005
2025-1179860,2025-01-07,000001,Vente,330000,4,,RUE LADJI DOUCOURE,4900,92600,92004,Asnières-sur-Seine,92,,,920040000C0187,,,6335,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.282762,48.930428
2025-1179860,2025-01-07,000001,Vente,330000,3,,PRV PIERRE DE COUBERTIN,7229,92600,92004,Asnières-sur-Seine,92,,,920040000C0187,,,4025,,,,,,,,,,1,2,Appartement,65,3,,,,,,2.282762,48.930428
2025-1179861,2025-01-07,000001,Vente,20000,58,,RUE ROBERT DUPONT,8165,92600,92004,Asnières-sur-Seine,92,,,920040000M0013,,,6095,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.284612,48.921708
2025-1179861,2025-01-07,000001,Vente,20000,58,,RUE ROBERT DUPONT,8165,92600,92004,Asnières-sur-Seine,92,,,920040000M0013,,,6096,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.284612,48.921708
2025-1179862,2025-01-10,000001,Vente en l'état futur d'achèvement,334000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,5011,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179862,2025-01-10,000001,Vente en l'état futur d'achèvement,334000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11188,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179862,2025-01-10,000001,Vente en l'état futur d'achèvement,334000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,5016,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179863,2025-01-02,000001,Vente,357004,5,,RUE HENRI PIGEON,4435,92600,92004,Asnières-sur-Seine,92,,,920040000V0138,,,54,,76,53.57,,,,,,,2,2,Appartement,52,3,,,,,,2.286282,48.910794
2025-1179863,2025-01-02,000001,Vente,357004,5,,RUE HENRI PIGEON,4435,92600,92004,Asnières-sur-Seine,92,,,920040000V0138,,,54,,76,53.57,,,,,,,2,3,Dépendance,,0,,,,,,2.286282,48.910794
2025-1179864,2025-01-08,000001,Vente,665000,12,,AV DE RUEIL,8185,92000,92050,Nanterre,92,,,92050000CL0004,,,,,,,,,,,,,0,1,Maison,77,3,S,sols,,,379,,
2025-1179865,2025-01-08,000001,Vente,202000,6,,RUE DU R P CH GILBERT,8160,92600,92004,Asnières-sur-Seine,92,,,920040000U0109,,,2,39.88,35,,,,,,,,2,2,Appartement,39,2,,,,,,2.290722,48.911209
2025-1179865,2025-01-08,000001,Vente,202000,6,,RUE DU R P CH GILBERT,8160,92600,92004,Asnières-sur-Seine,92,,,920040000U0109,,,2,39.88,35,,,,,,,,2,3,Dépendance,,0,,,,,,2.290722,48.911209
2025-1179866,2025-01-10,000001,Vente en l'état futur d'achèvement,289000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11177,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179866,2025-01-10,000001,Vente en l'état futur d'achèvement,289000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,9055,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179867,2025-01-10,000001,Vente,207000,6,,ALL DE LA REDOUTE,8125,92600,92004,Asnières-sur-Seine,92,,,920040000F0311,,,2025,45.42,,,,,,,,,1,2,Appartement,45,2,,,,,,2.273875,48.926474
2025-1179867,2025-01-10,000001,Vente,207000,368,,AV D ARGENTEUIL,0130,92600,92004,Asnières-sur-Seine,92,,,920040000F0311,,,6061,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.273875,48.926474
2025-1179868,2025-01-09,000001,Vente,22500,16,,RUE TROUILLET DEREL,9170,92600,92004,Asnières-sur-Seine,92,,,920040000N0127,,,27,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.283637,48.919026
2025-1179869,2025-01-07,000001,Vente,120000,25,,AV DE BRETTEVILLE,0690,92200,92051,Neuilly-sur-Seine,92,,,92051000AT0005,,,575,10.3,,,,,,,,,1,3,Dépendance,,0,,,,,,2.25307,48.876029
2025-1179870,2025-01-10,000001,Vente,187286.8,53,,RUE JULES GUESDE,4785,92300,92044,Levallois-Perret,92,,,920440000R0033,,,41,30.43,59,,,,,,,,2,2,Appartement,25,2,,,,,,2.291969,48.893572
2025-1179871,2025-01-06,000001,Vente,155000,44,,RUE MARIUS JACOTOT,6130,92800,92062,Puteaux,92,,,920620000S0217,,,85,,,,,,,,,,1,2,Appartement,16,1,,,,,,2.242129,48.884319
2025-1179872,2025-01-14,000001,Vente,182000,19,,RUE AUBOIN,0080,92110,92024,Clichy,92,,,920240000X0147,,,141,34.37,,,,,,,,,1,2,Appartement,34,2,,,,,,2.317024,48.899749
2025-1179873,2025-01-07,000001,Vente,460000,6,,RUE DU CHEMIN VERT,1455,92110,92024,Clichy,92,,,920240000C0048,,,219,84.28,,,,,,,,,1,2,Appartement,83,1,,,,,,2.29932,48.907247
2025-1179873,2025-01-07,000001,Vente,460000,6,,RUE DU CHEMIN VERT,1455,92110,92024,Clichy,92,,,920240000C0048,,,310,,,,,,,,,,1,2,Appartement,85,1,,,,,,2.29932,48.907247
2025-1179873,2025-01-07,000001,Vente,460000,6,,RUE DU CHEMIN VERT,1455,92110,92024,Clichy,92,,,920240000C0048,,,219,84.28,,,,,,,,,1,3,Dépendance,,0,,,,,,2.29932,48.907247
2025-1179873,2025-01-07,000001,Vente,460000,6,,RUE DU CHEMIN VERT,1455,92110,92024,Clichy,92,,,920240000C0048,,,310,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.29932,48.907247
2025-1179873,2025-01-07,000001,Vente,460000,159,,BD JEAN JAURES,4730,92110,92024,Clichy,92,,,920240000C0048,,,505,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.29932,48.907247
2025-1179874,2025-01-13,000001,Vente en l'état futur d'achèvement,262000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,11391,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179874,2025-01-13,000001,Vente en l'état futur d'achèvement,262000,,,RUE DE LA BONGARDE,0657,92390,92078,Villeneuve-la-Garenne,92,,,920780000O0089,,,7028,,,,,,,,,,1,,,,,,,,,,2.326187,48.924961
2025-1179875,2025-01-15,000001,Vente,425000,21,,RUE ANATOLE FRANCE,0056,92800,92062,Puteaux,92,,,920620000T0087,,,17,,6,66.02,,,,,,,2,2,Appartement,65,3,,,,,,2.238961,48.885418
2025-1179875,2025-01-15,000001,Vente,425000,21,,RUE ANATOLE FRANCE,0056,92800,92062,Puteaux,92,,,920620000T0087,,,17,,6,66.02,,,,,,,2,3,Dépendance,,0,,,,,,2.238961,48.885418
2025-1179876,2025-01-07,000001,Vente,120000,90,,AV HENRI BARBUSSE,4425,92600,92004,Asnières-sur-Seine,92,,,92004000AI0036,,,32,16.34,,,,,,,,,1,3,Dépendance,,0,,,,,,2.276388,48.911386
2025-1179876,2025-01-07,000001,Vente,120000,90,,AV HENRI BARBUSSE,4425,92600,92004,Asnières-sur-Seine,92,,,92004000AI0036,,,32,16.34,,,,,,,,,1,2,Appartement,17,1,,,,,,2.276388,48.911386
2025-1179877,2025-01-08,000001,Vente,530000,91,,RUE LOUIS ROUQUIER,5170,92300,92044,Levallois-Perret,92,,,920440000S0099,,,25,,9,55.01,,,,,,,2,2,Appartement,51,3,,,,,,2.289804,48.892165
2025-1179878,2025-01-10,000001,Vente,846000,10,T,RUE BENOIT MALON,0660,92150,92073,Suresnes,92,,,920730000P0070,,,3233,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.231017,48.873851
2025-1179878,2025-01-10,000001,Vente,846000,50,B,RUE DE VERDUN,9625,92150,92073,Suresnes,92,,,920730000P0070,,,3138,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.231017,48.873851
2025-1179878,2025-01-10,000001,Vente,846000,10,Q,RUE BENOIT MALON,0660,92150,92073,Suresnes,92,,,920730000P0070,,,3106,94.99,,,,,,,,,1,2,Appartement,93,5,,,,,,2.231017,48.873851
2025-1179879,2025-01-07,000001,Vente,185000,1,,AV ANATOLE FRANCE,0050,92110,92024,Clichy,92,,,92024000AD0012,,,39,29.07,,,,,,,,,1,2,Appartement,35,2,,,,,,2.30575,48.896689
2025-1179880,2025-01-09,000001,Vente,694400,51,,RUE EDOUARD VAILLANT,3125,92300,92044,Levallois-Perret,92,,,920440000O0015,,,491,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.289483,48.894987
2025-1179880,2025-01-09,000001,Vente,694400,53,,RUE EDOUARD VAILLANT,3125,92300,92044,Levallois-Perret,92,,,920440000O0017,,,19,67.46,7,,,,,,,,2,3,Dépendance,,0,,,,,,2.289373,48.895238
2025-1179880,2025-01-09,000001,Vente,694400,53,,RUE EDOUARD VAILLANT,3125,92300,92044,Levallois-Perret,92,,,920440000O0017,,,19,67.46,7,,,,,,,,2,2,Appartement,65,4,,,,,,2.289373,48.895238
2025-1179881,2025-01-10,000001,Vente,190000,58,,RUE DU R P CH GILBERT,8160,92600,92004,Asnières-sur-Seine,92,,,920040000O0175,,,13,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.286201,48.915496
2025-1179881,2025-01-10,000001,Vente,190000,58,,RUE DU R P CH GILBERT,8160,92600,92004,Asnières-sur-Seine,92,,,920040000O0175,,,13,,,,,,,,,,1,2,Appartement,33,2,,,,,,2.286201,48.915496
2025-1179881,2025-01-10,000001,Vente,190000,58,,RUE DU R P CH GILBERT,8160,92600,92004,Asnières-sur-Seine,92,,,920040000O0175,,,36,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.286201,48.915496
2025-1179881,2025-01-10,000001,Vente,190000,58,,RUE DU R P CH GILBERT,8160,92600,92004,Asnières-sur-Seine,92,,,920040000O0175,,,36,,,,,,,,,,1,2,Appartement,32,2,,,,,,2.286201,48.915496
2025-1179882,2025-01-10,000001,Vente,1273796,23,,BD D ARGENSON,0070,92200,92051,Neuilly-sur-Seine,92,,,920510000N0082,,,226,116.51,,,,,,,,,1,2,Appartement,102,4,,,,,,2.267042,48.886212
2025-1179882,2025-01-10,000001,Vente,1273796,16,,AV SAINTE FOY,8880,92200,92051,Neuilly-sur-Seine,92,,,920510000N0082,,,351,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.267042,48.886212
2025-1179882,2025-01-10,000001,Vente,1273796,23,,BD D ARGENSON,0070,92200,92051,Neuilly-sur-Seine,92,,,920510000N0082,,,226,116.51,,,,,,,,,1,3,Dépendance,,0,,,,,,2.267042,48.886212
2025-1179883,2025-01-10,000001,Vente,248000,2,,RUE BAUDIN,0626,92300,92044,Levallois-Perret,92,,,920440000L0059,,,57,27.6,,,,,,,,,1,2,Appartement,27,1,,,,,,2.277425,48.894249
2025-1179884,2025-01-09,000001,Vente,410000,17,,RUE BEAUMARCHAIS,0240,92500,92063,Rueil-Malmaison,92,,,92063000AS0112,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,204,2.172564,48.880165
2025-1179884,2025-01-09,000001,Vente,410000,17,,RUE BEAUMARCHAIS,0240,92500,92063,Rueil-Malmaison,92,,,92063000AS0112,,,,,,,,,,,,,0,1,Maison,60,2,S,sols,,,204,2.172564,48.880165
2025-1179885,2025-01-10,000001,Vente,575000,35,,RUE MORICE,6175,92110,92024,Clichy,92,,,920240000Z0064,,,57,64.17,,,,,,,,,1,2,Appartement,66,3,,,,,,2.312983,48.902631
